Metal_band,Survival_status
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Died
yes,Survived
yes,Survived
yes,Survived
yes,Survived
yes,Survived
yes,Survived
yes,Survived
yes,Survived
yes,Survived
yes,Survived
yes,Survived
yes,Survived
yes,Survived
yes,Survived
yes,Survived
yes,Survived
no,Died
no,Died
no,Died
no,Died
no,Died
no,Died
no,Died
no,Died
no,Died
no,Died
no,Died
no,Died
no,Died
no,Died
no,Died
no,Died
no,Died
no,Died
no,Died
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
no,Survived
